u,v,style,opacity,Direct,color
1,9,,,FALSE,black
2,9,,,FALSE,black
3,9,,,FALSE,black
4,9,,,FALSE,black
5,9,,,FALSE,black
6,9,,,FALSE,black
7,9,,,FALSE,black
8,9,,,FALSE,black
1,10,,,FALSE,black
2,10,,,FALSE,black
3,10,,,FALSE,black
4,10,,,FALSE,black
5,10,,,FALSE,black
6,10,,,FALSE,black
7,10,,,FALSE,black
8,10,,,FALSE,black
1,11,,,FALSE,black
2,11,,,FALSE,black
3,11,,,FALSE,black
4,11,,,FALSE,black
5,11,,,FALSE,black
6,11,,,FALSE,black
7,11,,,FALSE,black
8,11,,,FALSE,black
1,12,,,FALSE,black
2,12,,,FALSE,black
3,12,,,FALSE,black
4,12,,,FALSE,black
5,12,,,FALSE,black
6,12,,,FALSE,black
7,12,,,FALSE,black
8,12,,,FALSE,black
1,13,,,FALSE,black
2,13,,,FALSE,black
3,13,,,FALSE,black
4,13,,,FALSE,black
5,13,,,FALSE,black
6,13,,,FALSE,black
7,13,,,FALSE,black
8,13,,,FALSE,black
1,14,,,FALSE,black
2,14,,,FALSE,black
3,14,,,FALSE,black
4,14,,,FALSE,black
5,14,,,FALSE,black
6,14,,,FALSE,black
7,14,,,FALSE,black
8,14,,,FALSE,black
9,15,,,FALSE,black
10,15,,,FALSE,black
11,15,,,FALSE,black
12,15,,,FALSE,black
13,15,,,FALSE,black
14,15,,,FALSE,black
9,16,,,FALSE,black
10,16,,,FALSE,black
11,16,,,FALSE,black
12,16,,,FALSE,black
13,16,,,FALSE,black
14,16,,,FALSE,black
9,17,,,FALSE,black
10,17,,,FALSE,black
11,17,,,FALSE,black
12,17,,,FALSE,black
13,17,,,FALSE,black
14,17,,,FALSE,black
9,18,,,FALSE,black
10,18,,,FALSE,black
11,18,,,FALSE,black
12,18,,,FALSE,black
13,18,,,FALSE,black
14,19,,,FALSE,black
15,19,,,FALSE,black
16,19,,,FALSE,black
17,19,,,FALSE,black
18,19,,,FALSE,black
15,20,,,FALSE,black
16,20,,,FALSE,black
17,20,,,FALSE,black
18,20,,,FALSE,black
15,21,,,FALSE,black
16,21,,,FALSE,black
17,21,,,FALSE,black
18,21,,,FALSE,black
15,22,,,FALSE,black
16,22,,,FALSE,black
17,22,,,FALSE,black
18,22,,,FALSE,black
19,23,,,FALSE,black
20,23,,,FALSE,black
21,23,,,FALSE,black
22,23,,,FALSE,black
19,24,,,FALSE,black
20,24,,,FALSE,black
21,24,,,FALSE,black
22,24,,,FALSE,black
19,25,,,FALSE,black
20,25,,,FALSE,black
21,25,,,FALSE,black
22,25,,,FALSE,black
19,26,,,FALSE,black
20,26,,,FALSE,black
21,26,,,FALSE,black
22,26,,,FALSE,black
19,27,,,FALSE,black
20,27,,,FALSE,black
21,27,,,FALSE,black
22,27,,,FALSE,black
19,28,,,FALSE,black
20,28,,,FALSE,black
21,28,,,FALSE,black
22,28,,,FALSE,black
23,29,,,FALSE,black
24,29,,,FALSE,black
25,29,,,FALSE,black
26,29,,,FALSE,black
27,29,,,FALSE,black
28,29,,,FALSE,black
23,30,,,FALSE,black
24,30,,,FALSE,black
25,30,,,FALSE,black
26,30,,,FALSE,black
27,30,,,FALSE,black
28,30,,,FALSE,black
23,31,,,FALSE,black
24,31,,,FALSE,black
25,31,,,FALSE,black
26,31,,,FALSE,black
27,31,,,FALSE,black
28,31,,,FALSE,black
23,32,,,FALSE,black
24,32,,,FALSE,black
25,32,,,FALSE,black
26,32,,,FALSE,black
27,32,,,FALSE,black
28,32,,,FALSE,black
23,33,,,FALSE,black
24,33,,,FALSE,black
25,33,,,FALSE,black
26,33,,,FALSE,black
27,33,,,FALSE,black
28,33,,,FALSE,black
23,34,,,FALSE,black
24,34,,,FALSE,black
25,34,,,FALSE,black
26,34,,,FALSE,black
27,34,,,FALSE,black
28,34,,,FALSE,black
23,35,,,FALSE,black
24,35,,,FALSE,black
25,35,,,FALSE,black
26,35,,,FALSE,black
27,35,,,FALSE,black
28,35,,,FALSE,black
23,36,,,FALSE,black
24,36,,,FALSE,black
25,36,,,FALSE,black
26,36,,,FALSE,black
27,36,,,FALSE,black
28,36,,,FALSE,black
