id,x,y,size,shape,style,color,opacity,label,layer
1,-2.5,3.5,0.5,rectangle,,green!30,,,1
2,-2.5,2.5,0.5,rectangle,,green!30,,,1
3,-2.5,1.5,0.5,rectangle,,green!30,,,1
4,-2.5,0.5,0.5,rectangle,,green!30,,,1
5,-2.5,-0.5,0.5,rectangle,,green!30,,,1
6,-2.5,-1.5,0.5,rectangle,,green!30,,,1
7,-2.5,-2.5,0.5,rectangle,,green!30,,,1
8,-2.5,-3.5,0.5,rectangle,,green!30,,,1
9,0,2.5,0.5,circle,,green!60,,,2
10,0,1.5,0.5,circle,,green!60,,,2
11,0,0.5,0.5,circle,,green!60,,,2
12,0,-0.5,0.5,circle,,green!60,,,2
13,0,-1.5,0.5,circle,,green!60,,,2
14,0,-2.5,0.5,circle,,green!60,,,2
15,2.5,1.5,0.5,circle,,green!90,,,3
16,2.5,0.5,0.5,circle,,green!90,,,3
17,2.5,-0.5,0.5,circle,,green!90,,,3
18,2.5,-1.5,0.5,circle,,green!90,,,3
19,5,1.5,0.5,circle,,green!90,,,4
20,5,0.5,0.5,circle,,green!90,,,4
21,5,-0.5,0.5,circle,,green!90,,,4
22,5,-1.5,0.5,circle,,green!90,,,4
23,7.5,2.5,0.5,circle,,green!60,,,5
24,7.5,1.5,0.5,circle,,green!60,,,5
25,7.5,0.5,0.5,circle,,green!60,,,5
26,7.5,-0.5,0.5,circle,,green!60,,,5
27,7.5,-1.5,0.5,circle,,green!60,,,5
28,7.5,-2.5,0.5,circle,,green!60,,,5
29,10,3.5,0.5,rectangle,,green!30,,,6
30,10,2.5,0.5,rectangle,,green!30,,,6
31,10,1.5,0.5,rectangle,,green!30,,,6
32,10,0.5,0.5,rectangle,,green!30,,,6
33,10,-0.5,0.5,rectangle,,green!30,,,6
34,10,-1.5,0.5,rectangle,,green!30,,,6
35,10,-2.5,0.5,rectangle,,green!30,,,6
36,10,-3.5,0.5,rectangle,,green!30,,,6
