id,x,y,size,shape,style,color,opacity,label,layer
1,5,0,0.5,rectangle,,gray!30,,,5
2,0,3,0.5,rectangle,,gray!30,,,3
3,0,1,0.5,rectangle,,gray!30,,,3
4,0,-2,0.5,rectangle,,gray!30,,,3
5,2.5,1.5,0.5,circle,,gray!30,,,4
6,2.5,0.5,0.5,circle,,gray!30,,,4
7,2.5,-0.5,0.5,circle,,gray!30,,,4
8,2.5,-1.5,0.5,circle,,gray!30,,,4
9,-2.5,3.5,0.5,circle,,gray!30,,,2
10,-2.5,2.5,0.5,circle,,gray!30,,,2
11,-2.5,1.5,0.5,circle,,gray!30,,,2
12,-2.5,0.5,0.5,circle,,gray!30,,,2
13,-2.5,-0.5,0.5,circle,,gray!30,,,2
14,-2.5,-1.5,0.5,circle,,gray!30,,,2
15,-2.5,-2.5,0.5,circle,,gray!30,,,2
16,-2.5,-3.5,0.5,circle,,gray!30,,,2
17,-5,-2,0.5,rectangle,,gray!30,,,1
18,-5,1,0.5,rectangle,,gray!30,,,1
19,-5,2,0.5,rectangle,,gray!30,,,1
20,-5,3,0.5,rectangle,,gray!30,,,1
